INFO     | run | [18/25] Processing 202507...
INFO     | build_month_to_target | 2025-07: clean=0/60 gap=60 keep_rate=0.50 -> raw_batch=120
INFO     | mine_raw_batch | 2025-07: requesting 120 raw records
INFO     | mine_raw_batch | 2025-07: 1 snapshots for https://www.zara.com/us/en/woman-new-in-l1180.html
INFO     | mine_raw_batch | 2025-07: 0 untried candidates from https://web.archive.org/web/20250720125528/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-07: 10 snapshots for https://www.zara.com/us/en/woman-dresses-l1066.html
INFO     | mine_raw_batch | 2025-07: 174 untried candidates from https://web.archive.org/web/20250708175625/https://www.zara.com/us/en/woman-dres
INFO     | mine_raw_batch | 2025-07: 177 untried candidates from https://web.archive.org/web/20250709033542/https://www.zara.com/us/en/woman-dres
INFO     | mine_raw_batch | 2025-07: raw batch complete, +120 records
INFO     | build_month_to_target | 2025-07: +120 raw, +120 clean, 0 removed during cleaning
INFO     | build_month_to_target | 2025-07: target achieved (120/60 clean)
INFO     | run | [19/25] Processing 202508...
INFO     | build_month_to_target | 2025-08: clean=50/60 gap=10 keep_rate=0.67 -> raw_batch=15
INFO     | mine_raw_batch | 2025-08: requesting 15 raw records
INFO     | mine_raw_batch | 2025-08: 2 snapshots for https://www.zara.com/us/en/woman-new-in-l1180.html
INFO     | mine_raw_batch | 2025-08: 0 untried candidates from https://web.archive.org/web/20250822225136/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-08: 0 untried candidates from https://web.archive.org/web/20250828181630/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-08: 20 snapshots for https://www.zara.com/us/en/woman-dresses-l1066.html
INFO     | mine_raw_batch | 2025-08: 159 untried candidates from https://web.archive.org/web/20250801085749/https://www.zara.com/us/en/woman-dres
INFO     | mine_raw_batch | 2025-08: raw batch complete, +15 records
INFO     | build_month_to_target | 2025-08: +15 raw, +3 clean, 31 removed during cleaning
INFO     | build_month_to_target | 2025-08: clean=53/60 gap=7 keep_rate=0.53 -> raw_batch=14
INFO     | mine_raw_batch | 2025-08: requesting 14 raw records
INFO     | mine_raw_batch | 2025-08: 2 snapshots for https://www.zara.com/us/en/woman-new-in-l1180.html
INFO     | mine_raw_batch | 2025-08: 0 untried candidates from https://web.archive.org/web/20250822225136/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-08: 0 untried candidates from https://web.archive.org/web/20250828181630/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-08: 20 snapshots for https://www.zara.com/us/en/woman-dresses-l1066.html
INFO     | mine_raw_batch | 2025-08: 159 untried candidates from https://web.archive.org/web/20250801085749/https://www.zara.com/us/en/woman-dres
INFO     | mine_raw_batch | 2025-08: raw batch complete, +14 records
INFO     | build_month_to_target | 2025-08: +14 raw, +2 clean, 28 removed during cleaning
INFO     | build_month_to_target | 2025-08: clean=55/60 gap=5 keep_rate=0.41 -> raw_batch=13
INFO     | mine_raw_batch | 2025-08: requesting 13 raw records
INFO     | mine_raw_batch | 2025-08: 2 snapshots for https://www.zara.com/us/en/woman-new-in-l1180.html
INFO     | mine_raw_batch | 2025-08: 0 untried candidates from https://web.archive.org/web/20250822225136/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-08: 0 untried candidates from https://web.archive.org/web/20250828181630/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-08: 20 snapshots for https://www.zara.com/us/en/woman-dresses-l1066.html
INFO     | mine_raw_batch | 2025-08: 159 untried candidates from https://web.archive.org/web/20250801085749/https://www.zara.com/us/en/woman-dres
INFO     | mine_raw_batch | 2025-08: raw batch complete, +13 records
INFO     | build_month_to_target | 2025-08: +13 raw, +2 clean, 26 removed during cleaning
INFO     | build_month_to_target | 2025-08: clean=57/60 gap=3 keep_rate=0.34 -> raw_batch=9
INFO     | mine_raw_batch | 2025-08: requesting 9 raw records
INFO     | mine_raw_batch | 2025-08: 2 snapshots for https://www.zara.com/us/en/woman-new-in-l1180.html
INFO     | mine_raw_batch | 2025-08: 0 untried candidates from https://web.archive.org/web/20250822225136/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-08: 0 untried candidates from https://web.archive.org/web/20250828181630/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-08: 20 snapshots for https://www.zara.com/us/en/woman-dresses-l1066.html
INFO     | mine_raw_batch | 2025-08: 159 untried candidates from https://web.archive.org/web/20250801085749/https://www.zara.com/us/en/woman-dres
INFO     | mine_raw_batch | 2025-08: raw batch complete, +9 records
INFO     | build_month_to_target | 2025-08: +9 raw, +0 clean, 24 removed during cleaning
INFO     | build_month_to_target | 2025-08: batch produced no clean records, stopping
INFO     | run | [20/25] Processing 202509...
INFO     | build_month_to_target | 2025-09: clean=24/60 gap=36 keep_rate=0.56 -> raw_batch=65
INFO     | mine_raw_batch | 2025-09: requesting 65 raw records
INFO     | mine_raw_batch | 2025-09: 7 snapshots for https://www.zara.com/us/en/woman-new-in-l1180.html
INFO     | mine_raw_batch | 2025-09: 0 untried candidates from https://web.archive.org/web/20250907075224/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-09: 0 untried candidates from https://web.archive.org/web/20250909043857/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-09: 0 untried candidates from https://web.archive.org/web/20250909224513/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-09: 0 untried candidates from https://web.archive.org/web/20250911052136/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-09: 0 untried candidates from https://web.archive.org/web/20250911214504/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-09: 0 untried candidates from https://web.archive.org/web/20250915121051/https://www.zara.com/us/en/woman-new-
WARNING  | get_month_snapshots | CDX 202509 attempt 1: HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=20)
WARNING  | get_month_snapshots | CDX 202509 attempt 2: HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=20)
WARNING  | get_month_snapshots | CDX 202509 attempt 3: HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=20)
INFO     | mine_raw_batch | 2025-09: 31 snapshots for https://www.zara.com/us/en/woman-outerwear-l1184.html
INFO     | mine_raw_batch | 2025-09: 178 untried candidates from https://web.archive.org/web/20250906012933/https://www.zara.com/us/en/woman-oute
INFO     | mine_raw_batch | 2025-09: 175 untried candidates from https://web.archive.org/web/20250906141115/https://www.zara.com/us/en/woman-oute
INFO     | mine_raw_batch | 2025-09: 180 untried candidates from https://web.archive.org/web/20250907022008/https://www.zara.com/us/en/woman-oute
